record_number,district,mandal,date,rain_mm,min_humidity,max_humidity
1,Adilabad,Adilabad Rural,01-Apr-23,0.0,57.1,98.2
2,Adilabad,Adilabad Rural,01-Aug-23,0.0,39.8,95.4
3,Adilabad,Adilabad Rural,01-Dec-23,0.0,29.9,83.3
4,Adilabad,Adilabad Rural,01-Feb-23,0.0,49.9,94.9
5,Adilabad,Adilabad Rural,01-Jan-23,0.0,42.8,94.9
6,Adilabad,Adilabad Rural,01-Jul-23,0.0,61.7,98.7
7,Adilabad,Adilabad Rural,01-Jun-23,0.0,73.1,98.0
8,Adilabad,Adilabad Rural,01-Mar-23,0.0,54.6,98.2
9,Adilabad,Adilabad Rural,01-May-23,0.0,55.6,92.0
10,Adilabad,Adilabad Rural,01-Nov-23,0.0,28.3,88.6
11,Adilabad,Adilabad Rural,01-Oct-23,0.0,27.4,81.7
12,Adilabad,Adilabad Rural,01-Sep-23,0.0,29.4,79.3
13,Adilabad,Adilabad Rural,13-Jan-23,0.0,29.5,87.9
14,Adilabad,Adilabad Rural,14-Jan-23,0.0,35.9,89.5
15,Adilabad,Adilabad Rural,15-Jan-23,0.0,45.3,96.4
16,Adilabad,Adilabad Rural,16-Jan-23,0.0,53.6,97.0
17,Adilabad,Adilabad Rural,17-Jan-23,0.0,38.7,85.5
18,Adilabad,Adilabad Rural,18-Jan-23,0.0,38.7,93.0
19,Adilabad,Adilabad Rural,19-Jan-23,0.0,42.2,85.5
20,Adilabad,Adilabad Rural,20-Jan-23,0.0,39.9,86.4
21,Adilabad,Adilabad Rural,21-Jan-23,0.0,38.7,86.4
22,Adilabad,Adilabad Rural,22-Jan-23,0.0,38.2,80.7
23,Adilabad,Adilabad Rural,23-Jan-23,0.0,37.0,73.0
24,Adilabad,Adilabad Rural,24-Jan-23,0.0,39.3,77.6
25,Adilabad,Adilabad Rural,25-Jan-23,0.0,35.6,69.3
26,Adilabad,Adilabad Rural,26-Jan-23,0.0,32.7,90.2
27,Adilabad,Adilabad Rural,27-Jan-23,0.0,22.7,81.0
28,Adilabad,Adilabad Rural,28-Jan-23,0.0,42.8,89.5
29,Adilabad,Adilabad Rural,29-Jan-23,0.0,45.1,86.2
30,Adilabad,Adilabad Rural,30-Jan-23,0.0,36.4,72.0
31,Adilabad,Adilabad Rural,31-Jan-23,0.0,46.4,85.5
32,Adilabad,Adilabad Urban,01-Apr-23,0.0,60.1,99.9
33,Adilabad,Adilabad Urban,01-Aug-23,0.0,34.1,99.9
34,Adilabad,Adilabad Urban,01-Dec-23,0.0,25.1,99.9
35,Adilabad,Adilabad Urban,01-Feb-23,0.0,48.4,99.9
36,Adilabad,Adilabad Urban,01-Jan-23,0.0,42.3,99.9
37,Adilabad,Adilabad Urban,01-Jul-23,0.0,62.5,99.9
38,Adilabad,Adilabad Urban,01-Jun-23,0.0,72.1,99.9
39,Adilabad,Adilabad Urban,01-Mar-23,0.0,53.3,99.9
40,Adilabad,Adilabad Urban,01-May-23,0.0,65.2,99.9
41,Adilabad,Adilabad Urban,01-Nov-23,0.0,25.5,99.8
42,Adilabad,Adilabad Urban,01-Oct-23,0.0,27.4,99.0
43,Adilabad,Adilabad Urban,01-Sep-23,0.0,26.8,99.2
44,Adilabad,Adilabad Urban,13-Jan-23,0.0,32.1,97.2
45,Adilabad,Adilabad Urban,14-Jan-23,0.0,32.3,99.9
46,Adilabad,Adilabad Urban,15-Jan-23,0.0,42.9,99.9
47,Adilabad,Adilabad Urban,16-Jan-23,0.0,49.0,99.9
48,Adilabad,Adilabad Urban,17-Jan-23,0.0,40.2,99.9
